index,Best Performance
0,0.18183037277662206
1,0.22976859400782432
2,0.28604947948642145
3,0.24940354679664736
4,0.20468008401628168
5,0.23419505115634637
6,0.276860176772038
7,0.250082340158458
8,0.2485502597779724
9,0.26348282166891074
10,0.26455873270596486
11,0.19625304154315956
12,0.2410285985724676
13,0.23486372347767387
14,0.24065135533381216
15,0.2529363039731085
16,0.29647129488898455
17,0.2577267137049749
18,0.24466479797733426
19,0.21766313415891891
20,0.29860371577457245
21,0.2518389519899273
22,0.35814153550931094
23,0.27231270400929863
24,0.22001409028762461
25,0.2684605317384029
26,0.24046721159499201
27,0.22557260671422172
28,0.27217140211259405
29,0.2705772217330004
30,0.25546146692741684
31,0.2120418404379089
32,0.26095805050256626
33,0.2717086577338267
34,0.2538641489464947
35,0.2507186183546462
36,0.24979013842199427
37,0.2810224128371305
38,0.3306550403877456
39,0.2716789703202834
40,0.24570668282009264
41,0.22121931875444725
42,0.22967036504968177
43,0.2218635986583726
44,0.2555619762206735
45,0.17589055828624162
46,0.28814988688654647
47,0.21764555983562553
48,0.21220311902171993
49,0.22367829867469086
50,0.24522493445751148
51,0.27163061255267007
52,0.28439342052625033
53,0.21676348880198426
54,0.30555357365838554
55,0.2335110815731716
56,0.23964475774530175
57,0.2568450011613032
58,0.261482086909267
59,0.2586677033737904
60,0.2523677310538412
61,0.23722988635963974
62,0.2507043436161733
63,0.29662507244299896
64,0.24175557528773478
65,0.2245825353122291
66,0.23940996422879185
67,0.24211615684122795
68,0.25305392182961967
69,0.2670779623563376
70,0.26780421980882496
71,0.274696924828549
72,0.24319859424882095
73,0.23437565353657935
74,0.2126100591236631
75,0.21469791044637748
76,0.23522948528417967
77,0.2970964221188046
78,0.2817847906043495
79,0.22136306984784387
80,0.2890094897632228
81,0.20564442796215293
82,0.25040897441443644
83,0.26680412996566355
84,0.19379952188671962
85,0.24913672233897974
86,0.25994212650728576
87,0.20906410561829578
88,0.23440319157508352
89,0.22761901749000157
90,0.32291990033570556
91,0.1997071033889
92,0.2770594098491808
93,0.2109322287202444
94,0.25127138043078384
95,0.24717379245298768
96,0.2348729045444372
97,0.3426395932648891
98,0.2503397427464798
99,0.24222185585178913
100,0.2345576985944713
101,0.25290189188281786
102,0.23758948020852022
103,0.25286976638309483
104,0.23447004958817153
105,0.2516500287176373
106,0.29079606702026833
107,0.24301901069595608
108,0.23551619704962656
109,0.23166166642030675
110,0.3046429282294119
111,0.2059046296490771
112,0.2897828224809631
113,0.26584860665881793
114,0.32158941582466427
115,0.24344101452239197
116,0.29895891637672706
117,0.1939325938747131
118,0.27823822693492595
119,0.2512015426137006
120,0.2241257336058833
121,0.23696192822366052
122,0.23258313221974225
123,0.2731929990303956
124,0.24788758768823965
125,0.25602376201019056
126,0.263607205090087
127,0.2162995594305723
128,0.2535281400321629
129,0.2276675599669843
130,0.2448446998414842
131,0.22134762415888773
132,0.29505560760966243
133,0.2407126590976715
134,0.2429911523895793
135,0.2330741680471854
136,0.3146426360980179
137,0.2571987363426938
138,0.30406330398762405
139,0.2171032770287842
140,0.24840666049855192
141,0.23818107194651117
142,0.2421427661457234
143,0.21686371797328435
144,0.2349111395677946
145,0.2634252554537454
146,0.2198936046367752
147,0.25724554818205814
148,0.24076204613570207
149,0.2517810112515004
150,0.2708467788677666
151,0.27833873290404554
152,0.230885618170383
153,0.20595863029014344
154,0.20582634312443304
155,0.2551757908985734
156,0.24159455817030734
157,0.26756265932862755
158,0.24658110503630762
159,0.2976232823624255
160,0.17993258063262413
161,0.23091859956437133
162,0.24020835131324034
163,0.26116413075286304
164,0.2571442344897583
165,0.27124988924646015
166,0.2434361532240118
167,0.28220366466635133
168,0.19174939389197027
169,0.2694336840175878
170,0.26024097328870605
171,0.23499285629275085
172,0.25285690115855786
173,0.23056836319269491
174,0.2784017607774179
175,0.21993754706368773
176,0.25992778282501405
177,0.24872462300591844
178,0.20035814876991467
179,0.2613359917704029
180,0.26162586231705226
181,0.27786759546106843
182,0.27197259967424114
183,0.2808624291465085
184,0.24062550065629
185,0.26109974796539703
186,0.2690117516814547
187,0.2218045652331607
188,0.2484220211220464
189,0.26848538663507093
190,0.21288616848721237
191,0.25899072904131454
192,0.27382813725504235
193,0.23883220490311147
194,0.20996150304302613
195,0.2628577170666147
196,0.2711105476640488
197,0.2699451396608624
198,0.25995700300538355
199,0.2053777294377628
200,0.26239717293215714
201,0.20618644475103184
202,0.2764911702067398
203,0.2075595642666132
204,0.23397201949280477
205,0.22047141191413153
206,0.22189484845333837
207,0.2544035051661719
208,0.23894532305411434
209,0.24584745111495623
210,0.34576440709669576
211,0.20975140988639826
212,0.25810064693793144
213,0.22523303609593623
214,0.24732272337637162
215,0.2379514541005509
216,0.24804483707653135
217,0.24860945516677913
218,0.2468978478122387
219,0.27442416640032363
220,0.22366429193879556
221,0.2827006601479492
222,0.2418251874792318
223,0.27795186276264194
224,0.2747114826690208
225,0.2736111212657041
226,0.2374682220059664
227,0.2708958909742164
